rowIndex,satID,satCode,time_sec,lat_deg,lon_deg,alt_km,is_vel_north,commSats_codes,nCommSats,satID_synt,satCode_synt,satCode_synt_comm,A_bits_total,nPackagesA,B_bits_total,nPackagesB,A_and_B_bits
1,1,101,0,25.054194,4.881244,491.7699,True,"102,115",2,,,,0,0,0,0,0
1518,2,102,0,33.053209,30.831325,493.9102,True,"101,103,214,215",4,,,,0,0,0,0,0
3227,3,103,0,34.977858,59.734855,494.4748,False,"102,505",2,14.0,114.0,,0,0,0,0,0
4312,15,115,0,13.184132,-17.285006,489.4661,True,"101,502",2,,,114,0,0,0,0,0
5639,27,212,0,-25.654525,-7.729076,491.9168,True,213,1,,,211,0,0,0,0,0
6583,28,213,0,-13.947952,14.626923,489.576,True,"212,214",2,,,311,0,0,0,0,0
8929,29,214,0,-0.406822,34.704172,488.5263,True,"102,213,215",3,,,311,0,0,0,0,0
11982,30,215,0,13.184132,54.714994,489.4661,True,"102,214",2,,,,0,0,0,0,0
14101,62,502,0,33.053209,-41.168675,493.9102,True,"115,503",2,,,114,0,0,0,0,0
15216,63,503,0,34.977858,-12.265145,494.4748,False,"502,504",2,75.0,515.0,,0,0,0,0,0
17932,64,504,0,30.154761,15.681916,493.0923,False,"503,505",2,75.0,515.0,,0,0,0,0,0
21829,65,505,0,20.155588,39.862114,490.6729,False,"103,504",2,75.0,515.0,,0,0,0,0,0
2,1,101,1,25.081583,4.940425,491.7766,True,"102,115",2,,,,0,0,0,0,0
1519,2,102,1,33.067159,30.901056,493.9143,True,"101,103,214,215",4,,,,0,0,0,0,0
3228,3,103,1,34.973723,59.807972,494.4736,False,"102,505",2,14.0,114.0,,0,0,0,0,0
4313,15,115,1,13.21874,-17.234258,489.4709,True,"101,502",2,,,114,0,0,0,0,0
5640,27,212,1,-25.627718,-7.669297,491.9101,True,213,1,,,211,0,0,0,0,0
6584,28,213,1,-13.913603,14.678006,489.571,True,"212,214",2,,,311,0,0,0,0,0
8930,29,214,1,-0.370094,34.752089,488.5262,True,"102,213,215",3,,,311,0,0,0,0,0
11983,30,215,1,13.21874,54.765742,489.4709,True,"102,214",2,,,,0,0,0,0,0
14102,62,502,1,33.067159,-41.098944,493.9143,True,"115,503",2,,,114,0,0,0,0,0
15217,63,503,1,34.973723,-12.192028,494.4736,False,"502,504",2,75.0,515.0,,0,0,0,0,0
17933,64,504,1,30.134059,15.747196,493.0866,False,"503,505",2,75.0,515.0,,0,0,0,0,0
21830,65,505,1,20.124283,39.916954,490.6665,False,"103,504",2,75.0,515.0,,0,0,0,0,0
3,1,101,2,25.108946,4.999634,491.7832,True,"102,115",2,,,,0,0,0,0,0
1520,2,102,2,33.081067,30.970811,493.9183,True,"101,103,214,215",4,,,,0,0,0,0,0
3229,3,103,2,34.969539,59.88108,494.4723,False,"102,505",2,14.0,114.0,,0,0,0,0,0
4314,15,115,2,13.253336,-17.183495,489.4758,True,"101,502",2,,,114,0,0,0,0,0
5641,27,212,2,-25.600884,-7.609547,491.9035,True,213,1,,,211,0,0,0,0,0
6585,28,213,2,-13.879242,14.729072,489.5659,True,"212,214",2,,,311,0,0,0,0,0
8931,29,214,2,-0.333366,34.800005,488.526,True,"102,213,215",3,,,311,0,0,0,0,0
11984,30,215,2,13.253336,54.816505,489.4758,True,"102,214",2,,,,0,0,0,0,0
14103,62,502,2,33.081067,-41.029189,493.9183,True,"115,503",2,,,114,0,0,0,0,0
15218,63,503,2,34.969539,-12.11892,494.4723,False,"502,504",2,75.0,515.0,,0,0,0,0,0
17934,64,504,2,30.113321,15.812447,493.0809,False,"503,505",2,75.0,515.0,,0,0,0,0,0
21831,65,505,2,20.092957,39.971771,490.6602,False,"103,504",2,75.0,515.0,,0,0,0,0,0
4,1,101,3,25.136281,5.058871,491.7899,True,"102,115",2,,,,0,0,0,0,0
1521,2,102,3,33.09493,31.040589,493.9223,True,"101,103,214,215",4,,,,0,0,0,0,0
3230,3,103,3,34.965306,59.954181,494.4711,False,"102,505",2,14.0,114.0,,0,0,0,0,0
4315,15,115,3,13.287919,-17.132716,489.4807,True,"101,502",2,,,114,0,0,0,0,0
5642,27,212,3,-25.574022,-7.549825,491.8969,True,213,1,,,211,0,0,0,0,0
6586,28,213,3,-13.844868,14.780122,489.5609,True,"212,214",2,,,311,0,0,0,0,0
8932,29,214,3,-0.296638,34.847921,488.5259,True,"102,213,215",3,,,311,0,0,0,0,0
11985,30,215,3,13.287919,54.867284,489.4807,True,"102,214",2,,,,0,0,0,0,0
14104,62,502,3,33.09493,-40.959411,493.9223,True,"115,503",2,,,114,0,0,0,0,0
15219,63,503,3,34.965306,-12.045819,494.4711,False,"502,504",2,75.0,515.0,,0,0,0,0,0
