satID,Second,Data Bits Generated,Data Bits Generated
109,647,TRUE,0
110,647,TRUE,209760
111,647,TRUE,209760
207,647,TRUE,0
208,647,TRUE,209760
209,647,TRUE,0
303,647,TRUE,0
304,647,TRUE,0
306,647,TRUE,0
401,647,TRUE,0
402,647,TRUE,0
403,647,TRUE,0
513,647,TRUE,0
514,647,TRUE,0
515,647,TRUE,0
109,648,TRUE,0
110,648,TRUE,0
111,648,TRUE,0
207,648,TRUE,0
208,648,TRUE,0
209,648,TRUE,0
303,648,TRUE,0
304,648,TRUE,0
306,648,TRUE,0
401,648,TRUE,0
402,648,TRUE,0
403,648,TRUE,0
513,648,TRUE,0
514,648,TRUE,0
515,648,TRUE,0
109,649,TRUE,0
110,649,TRUE,214320
111,649,TRUE,214320
207,649,TRUE,0
208,649,TRUE,214320
209,649,TRUE,0
303,649,TRUE,0
304,649,TRUE,0
306,649,TRUE,0
401,649,TRUE,209760
402,649,TRUE,209760
403,649,TRUE,0
513,649,TRUE,0
514,649,TRUE,209760
515,649,TRUE,209760
109,650,TRUE,0
110,650,TRUE,214320
111,650,TRUE,214320
207,650,TRUE,0
208,650,TRUE,214320
209,650,TRUE,0
303,650,TRUE,0
304,650,TRUE,0
306,650,TRUE,0
401,650,TRUE,0
402,650,TRUE,0
403,650,TRUE,0
513,650,TRUE,0
514,650,TRUE,0
515,650,TRUE,0
109,651,TRUE,0
110,651,TRUE,0
111,651,TRUE,0
207,651,TRUE,0
208,651,TRUE,0
209,651,TRUE,0
303,651,TRUE,0
304,651,TRUE,0
306,651,TRUE,0
401,651,TRUE,0
402,651,TRUE,0
403,651,TRUE,0
513,651,TRUE,0
514,651,TRUE,0
515,651,TRUE,0
109,652,TRUE,0
110,652,TRUE,214320
111,652,TRUE,214320
207,652,TRUE,0
208,652,TRUE,214320
209,652,TRUE,0
303,652,TRUE,0
304,652,TRUE,0
306,652,TRUE,0
401,652,TRUE,0
402,652,TRUE,223440
403,652,TRUE,223440
513,652,TRUE,0
514,652,TRUE,223440
515,652,TRUE,223440
109,653,TRUE,0
110,653,TRUE,0
111,653,TRUE,0
207,653,TRUE,0
208,653,TRUE,0
209,653,TRUE,0
303,653,TRUE,0
304,653,TRUE,0
306,653,TRUE,0
401,653,TRUE,0
402,653,TRUE,209760
403,653,TRUE,209760
513,653,TRUE,0
514,653,TRUE,209760
515,653,TRUE,209760
109,654,TRUE,0
110,654,TRUE,218880
111,654,TRUE,218880
207,654,TRUE,0
208,654,TRUE,218880
209,654,TRUE,0
303,654,TRUE,0
304,654,TRUE,0
306,654,TRUE,0
401,654,TRUE,852720
402,654,TRUE,852720
403,654,TRUE,0
513,654,TRUE,0
514,654,TRUE,852720
515,654,TRUE,852720
109,655,TRUE,0
110,655,TRUE,209760
111,655,TRUE,209760
207,655,TRUE,0
208,655,TRUE,209760
209,655,TRUE,0
303,655,TRUE,0
304,655,TRUE,0
306,655,TRUE,0
401,655,TRUE,0
402,655,TRUE,0
403,655,TRUE,0
513,655,TRUE,0
514,655,TRUE,0
515,655,TRUE,0
109,656,TRUE,0
110,656,TRUE,0
111,656,TRUE,0
207,656,TRUE,0
208,656,TRUE,0
209,656,TRUE,0
303,656,TRUE,0
304,656,TRUE,0
306,656,TRUE,0
401,656,TRUE,0
402,656,TRUE,0
403,656,TRUE,0
513,656,TRUE,0
514,656,TRUE,0
515,656,TRUE,0
109,657,TRUE,0
110,657,TRUE,0
111,657,TRUE,0
207,657,TRUE,0
208,657,TRUE,0
209,657,TRUE,0
303,657,TRUE,0
304,657,TRUE,0
306,657,TRUE,0
401,657,TRUE,0
402,657,TRUE,214320
403,657,TRUE,214320
513,657,TRUE,0
514,657,TRUE,214320
515,657,TRUE,214320
109,658,TRUE,0
