Start Time (EpMin),Stop Time (EpMin),Duration (min),to Sat,from sat,Is Ascending
0,6.198766667,6.198766667,505,103,0
0,1.75545,1.75545,510,108,0
0,4.8971,4.8971,502,115,1
0,3.057116667,3.057116667,513,111,1
0,6.198783333,6.198783333,105,203,0
0,1.755433333,1.755433333,110,208,0
0,4.897066667,4.897066667,102,215,1
0,3.057133333,3.057133333,113,211,1
0,6.198883333,6.198883333,205,303,0
0,1.755433333,1.755433333,210,308,0
0,4.897066667,4.897066667,202,315,1
0,3.057183333,3.057183333,213,311,1
0,6.198916667,6.198916667,305,403,0
0,1.75545,1.75545,310,408,0
0,4.897116667,4.897116667,302,415,1
0,3.0572,3.0572,313,411,1
0,6.198833333,6.198833333,405,503,0
0,1.75545,1.75545,410,508,0
0,4.897133333,4.897133333,402,515,1
0,3.057166667,3.057166667,413,511,1
0.453483333,8.0387,7.585216667,109,207,0
0.453483333,8.038716667,7.585233333,209,307,0
0.4535,8.038766667,7.585283333,509,107,0
0.4535,8.038783333,7.5853,309,407,0
0.4535,8.038816667,7.585316667,409,507,0
1.7553,9.340383333,7.585083333,512,110,1
1.7553,9.340416667,7.585116667,112,210,1
1.755316667,9.340566667,7.58525,212,310,1
1.755316667,9.340616667,7.5853,312,410,1
1.755316667,9.3405,7.585183333,412,510,1
3.595066667,11.18035,7.585283333,101,214,1
3.595066667,11.18036667,7.5853,201,314,1
3.595116667,11.18043333,7.585316667,501,114,1
3.595116667,11.18045,7.585333333,301,414,1
3.59515,11.1805,7.58535,401,514,1
4.896933333,12.48198333,7.58505,504,102,0
4.896933333,12.48203333,7.5851,104,202,0
4.896966667,12.48213333,7.585166667,404,502,0
4.896983333,12.48223333,7.58525,204,302,0
4.897,12.4823,7.5853,304,402,0
6.736683333,14.32198333,7.5853,108,206,0
6.736683333,14.322,7.585316667,208,306,0
6.736783333,14.3221,7.5853,508,106,0
6.736783333,14.32211667,7.585333333,308,406,0
6.73685,14.32218333,7.585333333,408,506,0
8.038566667,15.62361667,7.58505,511,109,1
8.038583333,15.62368333,7.5851,111,209,1
8.038633333,15.62381667,7.585183333,411,509,1
8.03865,15.62393333,7.585283333,211,309,1
8.038683333,15.62401667,7.585333333,311,409,1
9.878316667,17.46361667,7.5853,115,213,1
9.878316667,17.46365,7.585316667,215,313,1
9.878466667,17.46375,7.585283333,515,113,1
9.878466667,17.46378333,7.585316667,315,413,1
9.87855,17.46386667,7.5853,415,513,1
11.18021667,18.76523333,7.585033333,503,101,0
11.18023333,18.76531667,7.5851,103,201,0
11.1803,18.76548333,7.585183333,403,501,0
11.18031667,18.76561667,7.5853,203,301,0
11.18036667,18.76571667,7.58535,303,401,0
13.02,20.60526667,7.585266667,107,205,0
13.02,20.60528333,7.5853,207,305,0
13.02018333,20.60541667,7.585233333,507,105,0
13.02018333,20.60546667,7.585266667,307,405,0
13.0203,20.60553333,7.585233333,407,505,0
14.32185,21.90686667,7.585016667,510,108,1
14.32186667,21.90696667,7.5851,110,208,1
14.32196667,21.90713333,7.585183333,410,508,1
14.32198333,21.9073,7.585316667,210,308,1
14.32205,21.90741667,7.585366667,310,408,1
16.16161667,23.7469,7.585283333,114,212,1
16.16161667,23.74693333,7.585316667,214,312,1
16.16185,23.74708333,7.585233333,514,112,1
16.16185,23.74713333,7.585283333,314,412,1
16.162,23.74721667,7.585216667,414,512,1
17.46348333,25.04846667,7.584983333,502,115,0
17.46351667,25.04858333,7.585066667,102,215,0
17.46361667,25.04878333,7.585166667,402,515,0
17.46365,25.04896667,7.585316667,202,315,0
17.46371667,25.0491,7.585366667,302,415,0
19.30325,26.88853333,7.5853,106,204,0
19.30325,26.88856667,7.585333333,206,304,0
19.30353333,26.88875,7.585216667,506,104,0
19.30353333,26.8888,7.585266667,306,404,0
19.3037,26.8889,7.5852,406,504,0
20.60513333,28.1901,7.584983333,509,107,1
20.60515,28.19023333,7.585083333,109,207,1
20.60528333,28.19046667,7.585183333,409,507,1
20.60531667,28.19066667,7.58535,209,307,1
20.6054,28.19081667,7.5854,309,407,1
22.44483333,30.03018333,7.585333333,113,211,1
22.44483333,30.03021667,7.585383333,213,311,1
22.44516667,30.0304,7.585233333,513,111,1
22.44516667,30.03046667,7.5853,313,411,1
